04E,2016-05-02,2016-05-05,cald,1618,12125,2.02530000000000,171904.49555555,USD
C51,2016-05-02,2016-05-05,opht,1618,2106,5.17110000000000,76258.21222222,USD
84C,2016-05-02,2016-05-05,chuy,1618,2067,3.42630000000000,49588.51777777,USD
4BB,2016-05-02,2016-05-05,wwav,1618,4487,4.53760000000000,142535.78888888,USD
3C8,2016-05-02,2016-05-05,bel,1618,471,1.03230000000000,3406.44333333,USD
28D,2016-05-02,2016-05-05,baby,1618,28,3.57920000000000,715.83333333,USD
C36,2016-05-02,2016-05-05,boja,1618,1428,1.96440000000000,19644.44444444,USD
6BC,2016-05-02,2016-05-05,rare,1618,1828,7.46550000000000,95543.18444444,USD
276,2016-05-02,2016-05-05,geo,1618,2692,3.57960000000000,67471.46111111,USD
54A,2016-05-02,2016-05-05,adpt,1618,277,7.50060000000000,14551.09888888,USD
C67,2016-05-02,2016-05-05,dwre,1618,714,5.20670000000000,26033.33333333,USD
8DF,2016-05-02,2016-05-05,nuva,1618,4945,5.84750000000000,202440.06555555,USD
8F5,2016-05-02,2016-05-05,rspp,1618,16088,3.35550000000000,377884.23888888,USD
8CA,2016-05-02,2016-05-05,enta,1618,17,3.20220000000000,381.06444444,USD
573,2016-05-02,2016-05-05,ngvc,1618,146,1.48270000000000,1515.36444444,USD
292,2016-05-02,2016-05-05,qlys,1618,3311,2.82160000000000,65408.54000000,USD
2CC,2016-05-02,2016-05-05,xlrn,1618,1758,3.26320000000000,40163.60222222,USD
A96,2016-05-02,2016-05-05,zg,1618,2332,2.75160000000000,44930.33222222,USD
A9E,2016-05-02,2016-05-05,geos,1618,411,1.81060000000000,5216.30666666,USD
A13,2016-05-02,2016-05-05,hxl,1618,3918,5.01010000000000,137428.26222222,USD
997,2016-05-02,2016-05-05,tumi,1618,1630,2.97290000000000,33938.75333333,USD
638,2016-05-02,2016-05-05,sf,1618,2317,3.64320000000000,59093.24444444,USD
AC3,2016-05-02,2016-05-05,gco,1618,446,7.71850000000000,24097.26111111,USD
762,2016-05-02,2016-05-05,airm,1618,246,4.10090000000000,7061.69222222,USD
F28,2016-05-02,2016-05-05,impv,1618,83,5.21070000000000,3053.49666666,USD
D45,2016-05-02,2016-05-05,bfam,1618,214,7.28830000000000,10932.45000000,USD
F93,2016-05-02,2016-05-05,prlb,1618,1407,6.67030000000000,65735.58777777,USD
582,2016-05-02,2016-05-05,gwre,1618,950,6.32760000000000,42078.39222222,USD
902,2016-05-02,2016-05-05,hmsy,1618,1607,1.82210000000000,20500.32222222,USD
C14,2016-05-02,2016-05-05,prxl,1618,137,6.81460000000000,6535.20111111,USD
A56,2016-05-02,2016-05-05,sgry,1618,14,1.80330000000000,180.33333333,USD
02C,2016-05-02,2016-05-05,eqy,1618,2315,3.19780000000000,51820.52888888,USD
FEB,2016-05-02,2016-05-05,umbf,1618,915,6.18960000000000,39650.79111111,USD
07C,2016-05-02,2016-05-05,lstr,1618,1049,7.30800000000000,53677.58666666,USD
E3A,2016-05-02,2016-05-05,ptc,1618,819,4.05000000000000,23218.52222222,USD
819,2016-05-02,2016-05-05,cohr,1618,714,10.32330000000000,51616.66666666,USD
7CA,2016-05-02,2016-05-05,shoo,1618,2769,3.88760000000000,75369.11666666,USD
1B1,2016-05-02,2016-05-05,logm,1618,1798,6.61940000000000,83318.94777777,USD
8D1,2016-05-02,2016-05-05,pool,1618,300,9.78780000000000,20554.38000000,USD
FDD,2016-05-02,2016-05-05,kwr,1618,14,9.73900000000000,993.37555555,USD
5CC,2016-05-02,2016-05-05,hw,1618,2715,2.19610000000000,41738.86555555,USD
4E5,2016-05-02,2016-05-05,csod,1618,3295,3.80670000000000,87804.31666666,USD
0B6,2016-05-02,2016-05-05,bid,1618,1731,3.02240000000000,36625.98222222,USD
0F9,2016-05-02,2016-05-05,wst,1618,1269,7.94900000000000,70611.06555555,USD
E28,2016-05-02,2016-05-05,veco,1618,192,2.04920000000000,2756.11444444,USD
38E,2016-05-02,2016-05-05,wbc,1618,1601,12.46220000000000,139738.27444444,USD
624,2016-05-02,2016-05-05,al,1618,1714,3.41850000000000,41029.37000000,USD
F07,2016-05-02,2016-05-05,jblu,1618,24388,2.20950000000000,377209.63333333,USD
D98,2016-05-02,2016-05-05,cube,1618,1307,3.33140000000000,30482.61555555,USD
6E0,2016-05-02,2016-05-05,esgr,1618,189,17.71410000000000,23435.76888888,USD
893,2016-05-02,2016-05-05,evri,1618,1759,0.18820000000000,2317.32333333,USD
2FA,2016-05-02,2016-05-05,acor,1618,2621,2.91750000000000,53536.53333333,USD
D36,2016-05-02,2016-05-05,cavm,1618,325,5.46610000000000,12468.20000000,USD
262,2016-05-02,2016-05-05,tmh,1618,770,4.63320000000000,24991.60111111,USD
51B,2016-05-02,2016-05-05,cgnx,1618,2072,3.95540000000000,57388.57666666,USD
02C,2016-05-02,2016-05-05,pgti,1618,93,1.16660000000000,765.28222222,USD
D28,2016-05-02,2016-05-05,door,1618,1276,7.41960000000000,66316.38444444,USD
1D8,2016-05-02,2016-05-05,pcty,1618,2857,4.25400000000000,85080.88888888,USD
0FF,2016-05-02,2016-05-05,mtg,1618,33198,0.79580000000000,184941.12666666,USD
0F6,2016-05-02,2016-05-05,wcn,1618,943,7.49840000000000,49511.78888888,USD
440,2016-05-02,2016-05-05,lnce,1618,893,3.61530000000000,22602.71666666,USD
133,2016-05-02,2016-05-05,vsi,1618,4755,3.10190000000000,103245.63222222,USD
98C,2016-05-02,2016-05-05,edge,1618,2784,0.93500000000000,18224.95111111,USD
D77,2016-05-02,2016-05-05,srg,1618,912,6.00090000000000,38309.81666666,USD
7BC,2016-05-02,2016-05-05,penn,1618,3657,1.82330000000000,46677.33333333,USD
